                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.0509,                0.70061,                 1.1123,                0.86782,                 0.7311,                0.81975,                0.61954,                 1.6223,                 1.2277,                 1.5278,             0.00026161,             0.00026161,             0.00026161
                     67,                 1.0546,                0.68908,                 1.1061,                0.79315,                0.74477,                0.81601,                0.61366,                 1.6187,                 1.2355,                 1.5315,             0.00025454,             0.00025454,             0.00025454
                     68,                 1.0204,                0.66437,                 1.0936,                0.82009,                 0.7416,                0.80255,                0.61672,                 1.6217,                 1.2772,                 1.5437,             0.00024747,             0.00024747,             0.00024747
                     69,                  1.045,                0.68733,                 1.1066,                0.80887,                0.75049,                0.82298,                0.64099,                 1.6119,                 1.2162,                 1.5342,              0.0002404,              0.0002404,              0.0002404
                     70,                 1.0265,                0.68229,                 1.0948,                0.82563,                0.74457,                0.81903,                0.62517,                 1.6304,                 1.2236,                 1.5391,             0.00023334,             0.00023334,             0.00023334
                     71,                 1.0101,                 0.6604,                 1.0855,                0.84514,                0.72133,                0.81302,                0.62501,                 1.6239,                 1.2278,                 1.5407,             0.00022627,             0.00022627,             0.00022627
                     72,                 1.0022,                0.65307,                 1.0726,                0.79954,                0.74134,                0.82801,                0.63247,                 1.6306,                 1.2233,                 1.5498,              0.0002192,              0.0002192,              0.0002192
                     73,                0.99763,                0.64507,                 1.0735,                0.80641,                0.75625,                0.83413,                0.64262,                 1.6249,                 1.2046,                 1.5586,             0.00021213,             0.00021213,             0.00021213
                     74,                0.99152,                 0.6445,                 1.0771,                0.83135,                0.74214,                0.83312,                0.64199,                   1.63,                 1.2335,                 1.5481,             0.00020506,             0.00020506,             0.00020506
                     75,                0.98883,                0.62798,                 1.0721,                0.77547,                0.75676,                0.82288,                0.63041,                 1.6297,                 1.1972,                 1.5552,             0.00019799,             0.00019799,             0.00019799
                     76,                0.98808,                0.62322,                 1.0682,                0.85555,                0.73516,                0.82368,                 0.6364,                 1.6389,                 1.2071,                 1.5501,             0.00019092,             0.00019092,             0.00019092
                     77,                0.97788,                0.62759,                 1.0674,                0.84046,                0.72686,                0.83309,                0.64017,                 1.6359,                 1.2094,                 1.5729,             0.00018385,             0.00018385,             0.00018385
                     78,                 0.9846,                0.62835,                 1.0691,                0.84932,                0.72005,                0.82756,                0.63094,                 1.6368,                 1.2051,                 1.5631,             0.00017679,             0.00017679,             0.00017679
                     79,                0.95456,                0.61051,                 1.0513,                0.83443,                0.74283,                0.82936,                0.63451,                 1.6405,                 1.1848,                 1.5707,             0.00016972,             0.00016972,             0.00016972
                     80,                 0.9428,                0.60657,                   1.05,                0.79081,                 0.7539,                0.82005,                0.63471,                 1.6413,                 1.2308,                  1.568,             0.00016265,             0.00016265,             0.00016265
