                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.15146,                0.18297,                0.76454,                0.86293,                 0.5681,                 0.7183,                0.54843,                 1.7862,                 1.7429,                 2.0942,             0.00012024,             0.00012024,             0.00012024
                     87,                 0.1489,                0.18098,                0.76365,                0.83006,                0.57422,                0.71107,                0.53945,                 1.7812,                 1.7414,                  2.073,             0.00011317,             0.00011317,             0.00011317
                     88,                0.14475,                0.17988,                0.76407,                0.86018,                0.57487,                0.71441,                0.53737,                 1.7761,                  1.712,                 2.0673,              0.0001061,              0.0001061,              0.0001061
                     89,                  0.142,                0.17647,                0.76315,                0.75407,                0.59887,                0.71227,                0.53986,                 1.7884,                  1.725,                 2.0869,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.14187,                0.17754,                0.76289,                 0.8284,                0.57152,                0.71627,                  0.544,                 1.7788,                 1.7487,                 2.0778,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.13754,                0.17493,                0.76251,                0.83887,                0.57565,                0.71693,                0.54322,                 1.7657,                 1.7575,                 2.0622,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.13678,                0.17475,                0.76191,                0.85836,                0.56527,                0.72155,                0.54692,                 1.7758,                 1.7337,                 2.0903,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.13194,                0.16969,                0.76104,                0.87026,                0.56192,                0.72197,                0.54992,                 1.7805,                 1.7403,                 2.0966,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.12935,                0.16979,                0.76157,                0.78142,                0.60585,                0.72339,                0.55083,                 1.7776,                 1.7599,                 2.0844,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.12702,                 0.1677,                0.76156,                0.85949,                 0.5704,                0.72519,                0.54953,                 1.7824,                 1.7468,                  2.089,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.12553,                0.16671,                0.76093,                0.85195,                0.56834,                0.72476,                0.54748,                   1.78,                 1.7703,                  2.097,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                 0.1242,                0.16453,                0.76157,                0.80325,                  0.587,                0.72406,                0.54446,                 1.7781,                 1.7522,                 2.1001,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.12046,                0.16174,                0.76083,                 0.8367,                0.57449,                0.72134,                0.54488,                 1.7823,                 1.7628,                 2.1061,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.11751,                0.16045,                0.76044,                0.83874,                0.57699,                0.72304,                 0.5464,                 1.7797,                 1.7664,                  2.099,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.11824,                0.16056,                0.76176,                0.87116,                 0.5691,                0.72422,                0.54645,                   1.78,                 1.7597,                 2.1013,             2.1277e-05,             2.1277e-05,             2.1277e-05
